,source,target,size,directed 
260,2151,R13,357,false
261,2164,R37,40,false
262,2164,R39,35,false
263,2164,RE11,23,false
264,2211,R37,60,false
265,2211,R39,5,false
266,2211,RE11,109,false
267,2218,R12,33,false
268,2218,RE8,77,false
269,2223,R14,240,false
270,2223,R7,64,false
271,2235,R7,64,false
272,2250,RE5,175,false
273,2260,R21,42,false
274,2275,R11,112,false
275,2301,R37,166,false
276,2335,R8,216,false
277,2336,R8,228,false
278,2337,S7,420,false
279,2345,S11,170,false
280,2345,S5,980,false
281,2345,S6,1269,false
282,2391,R36,130,false
283,2392,R5,112,false
284,2419,R4,165,false
285,2419,RE6,338,false
286,2435,R34,85,false
287,2435,R41,66,false
288,2437,R1,190,false
289,2437,R4,211,false
290,2437,RE6,347,false
291,2477,R11,120,false
292,2481,R37,172,false
293,2487,S1,1635,false
294,2504,R12,27,false
295,2504,RE8,17,false
296,2513,R8,231,false
297,2518,R41,66,false
298,2520,S1,1635,false
299,2573,R13,28,false
300,2603,R5,112,false
301,2603,R8,216,false
302,2604,S1,1635,false
303,2611,R35,283,false
304,2612,R18,16,false
305,2612,S7,352,false
306,2632,R11,112,false
307,2636,R21,203,false
308,2636,S30,77,false
309,2640,R35,20,false
310,2655,R25,13,false
311,2655,R31,42,false
312,2686,R38,310,false
313,2686,RE11,11,false
314,2696,RE80,99,false
315,2696,S11,750,false
316,2696,S9,156,false
317,2697,R1,180,false
318,2713,R23,90,false
319,2713,RE4,117,false
320,2716,R14,240,false
321,2716,S11,754,false
322,2716,S7,419,false
323,2716,S8,871,false
324,2716,S9,36,false
325,2757,R23,90,false
326,2760,R12,33,false
327,2760,R13,359,false
328,2760,RE8,221,false
329,2763,R6,70,false
330,2790,R34,297,false
331,2790,R41,66,false
332,2793,RE4,117,false
333,2808,R13,28,false
334,2820,S1,8,false
335,2833,R21,51,false
336,2836,R14,240,false
337,2850,R12,27,false
338,2850,RE8,220,false
339,2889,R25,8,false
340,2889,R31,56,false
341,2889,R35,20,false
342,2894,R8,228,false
343,2906,R21,203,false
344,2906,S30,77,false
345,2910,R4,17,false
346,2910,S5,1048,false
347,2916,RE8,36,false
348,2919,R2,322,false
349,2919,R4,218,false
350,2919,R6,340,false
351,2919,RE6,29,false
352,2919,S5,1048,false
353,2920,RE2,96,false
354,2923,R31,30,false
355,2923,S9,1248,false
356,2930,S7,420,false
357,2934,R36,136,false
358,2973,R25,13,false
359,2973,R31,42,false
360,2973,R35,273,false
361,2974,S50,300,false
362,2976,R25,8,false
363,2976,R31,56,false
364,2981,R25,8,false
365,2981,R31,56,false
366,2982,R18,56,false
367,2982,S7,390,false
368,2987,RE5,15,false
369,2987,S5,990,false
370,2993,R13,357,false
371,2993,RE8,198,false
372,2994,RE5,181,false
373,2994,S40,272,false
374,2994,S5,996,false
375,2994,S50,126,false
376,3012,RE4,10,false
377,3013,R11,112,false
378,3014,R36,130,false
379,3015,R7,40,false
380,3016,RE2,24,false
381,3018,R23,90,false
382,3022,R5,112,false
383,3025,RE6,349,false
384,3032,R25,43,false
385,3038,R8,228,false
386,3048,R4,165,false
387,3053,R31,312,false
388,3061,S5,990,false
389,3074,S7,420,false
390,3095,R36,144,false
391,3098,R23,80,false
392,3098,RE4,10,false
393,3098,RE5,156,false
394,3098,S5,990,false
395,3099,R6,56,false
396,3099,S5,990,false
397,3101,S7,420,false
398,3114,R8,228,false
399,3119,S6,1269,false
400,3123,R41,66,false
401,3134,R35,20,false
402,3169,S5,1048,false
403,3169,S6,1227,false
404,3169,S9,1248,false
405,3183,R14,240,false
406,3222,R18,102,false
407,3222,RE80,78,false
408,3222,S10,4,false
409,3222,S11,252,false
410,3372,R6,70,false
411,3380,R35,20,false
412,3468,S2,740,false
413,3468,S5,1048,false
414,3468,S6,1227,false
415,3507,S5,990,false
416,3594,R2,322,false
417,3594,RE2,13,false
418,3595,R2,322,false
419,3595,RE2,13,false
420,365,R13,50,false
421,365,RE8,30,false
422,367,R31,62,false
423,374,R37,40,false
424,374,R39,35,false
425,380,S5,990,false
426,397,R1,219,false
427,400,R18,16,false
428,400,S10,8,false
429,400,S40,11,false
430,401,R18,123,false
431,405,S5,942,false
432,406,R25,43,false
433,407,R37,166,false
434,424,R7,166,false
435,438,R18,118,false
436,451,RE5,175,false
437,451,S40,272,false
438,451,S50,126,false
439,453,R14,240,false
440,453,S8,871,false
441,455,R13,339,false
442,457,R34,28,false
443,461,R23,90,false
444,461,RE4,10,false
445,472,R8,225,false
446,5046,R16,18,false
447,5046,S2,17,false
448,5046,S4,12,false
449,5048,R22,112,false
450,5048,R27,170,false
451,5048,R28,176,false
452,5048,RE1,32,false
453,5048,RE7,8,false
454,5048,S1,1500,false
455,5048,S3,910,false
456,5048,S9,1321,false
457,5048,XP1,380,false
458,5048,XP2,52,false
459,5049,S9,1321,false
460,5051,R3,90,false
461,5051,RE3,158,false
462,5052,S9,1321,false
463,5053,R16,840,false
464,5053,R17,927,false
465,5053,R22,961,false
466,5053,R27,170,false
467,5053,RE1,195,false
468,5053,RE7,35,false
469,5053,S3,910,false
470,5053,S4,899,false
471,5053,XP1,380,false
472,5054,R16,18,false
473,5054,R22,112,false
474,5054,R27,170,false
475,5054,RE1,32,false
476,5054,RE7,8,false
477,5054,S4,12,false
478,5057,S1,1500,false
479,5057,S3,910,false
480,5059,S1,1500,false
481,5059,S3,910,false
482,5061,S1,1500,false
483,5061,S3,910,false
484,5063,S1,1500,false
485,5063,S3,910,false
486,5064,S9,156,false
487,5065,R16,18,false
488,5065,S2,906,false
489,5065,S4,12,false
490,5066,S2,194,false
491,5066,S4,899,false
492,5069,S2,194,false
493,5069,S4,899,false
494,5070,S2,906,false
495,5070,S4,12,false
496,5071,S2,20,false
497,5071,S4,899,false
498,5072,S2,17,false
499,5072,S4,12,false
500,5073,R16,840,false
501,5073,S2,20,false
502,5073,S4,899,false
503,5073,S9,156,false
504,5086,R16,840,false
505,5086,S2,20,false
506,5086,S4,15,false
507,5087,R16,18,false
508,5088,R16,840,false
509,5088,S2,20,false
510,5088,S4,15,false
511,5089,R16,18,false
512,5090,R16,818,false
513,5091,R16,31,false
514,5092,R16,818,false
515,5093,R3,246,false
516,5093,RE3,158,false
517,5094,R16,831,false
518,5095,R16,18,false
519,5096,R16,551,false
520,5097,R16,72,false
521,5098,R16,569,false
522,5151,R3,98,false
523,5151,RE3,158,false
524,5152,R3,114,false
525,5152,RE3,14,false
526,5154,R3,494,false
527,5154,RE3,14,false
528,5262,R27,170,false
529,5262,R28,568,false
530,5263,R27,170,false
531,5263,R28,170,false
532,5264,R27,170,false
533,5264,R28,568,false
534,5264,S50,360,false
535,5264,XP2,211,false
536,5265,R28,170,false
537,5265,S50,186,false
538,5266,R28,568,false
539,5266,S50,360,false
540,5266,XP1,380,false
541,5266,XP2,52,false
542,5276,R28,170,false
543,5276,S50,84,false
544,5276,XP2,161,false
545,5309,R22,961,false
546,5310,R22,112,false
547,5311,R22,961,false
548,5312,R22,112,false
549,5313,R22,961,false
550,5314,R22,112,false
551,5314,RE1,195,false
552,5315,R22,961,false
553,5316,R22,112,false
554,5317,R22,961,false
555,5318,R22,112,false
556,5318,RE1,32,false
557,5319,R22,971,false
558,5319,RE1,195,false
559,5320,R22,122,false
560,5320,RE1,32,false
561,5321,R22,430,false
562,5321,RE1,195,false
563,5322,R22,106,false
564,5322,RE1,32,false
565,5323,R22,430,false
566,5323,RE1,195,false
567,5324,R22,106,false
568,5324,RE1,32,false
569,5325,R22,154,false
570,5326,R22,382,false
571,5326,RE1,227,false
572,5327,R22,154,false
573,5328,R22,382,false
574,5328,RE1,227,false
575,5332,R27,170,false
576,5333,R27,170,false
577,5334,R27,170,false
578,5336,R17,927,false
579,5338,R17,927,false
580,5338,RE7,35,false
581,5340,R17,927,false
582,5342,R17,927,false
583,5343,RE7,8,false
584,5344,R17,927,false
585,5344,RE7,35,false
586,5345,RE7,8,false
587,5346,R17,900,false
588,5346,RE7,27,false
589,5348,R3,78,false
590,5348,RE3,14,false
591,5350,R3,90,false
592,5350,RE3,158,false
593,5352,R3,78,false
594,5352,RE3,14,false
595,5353,R3,28,false
596,5355,R3,44,false
597,5356,R3,246,false
598,5357,R3,44,false
599,5359,R3,246,false
600,5359,RE3,14,false
601,5361,R3,300,false
602,5362,R3,316,false
603,5363,R3,98,false
604,5364,R3,316,false
605,5364,RE3,158,false
606,5365,R3,114,false
607,5365,RE3,14,false
608,5366,R3,316,false
609,5366,RE3,158,false
610,5367,R3,98,false
611,5368,R3,98,false
612,5369,R3,478,false
613,5370,R3,98,false
614,5370,RE3,28,false
615,5374,R3,478,false
616,5375,R3,98,false
617,5376,R3,478,false
618,5378,R3,98,false
619,5409,S2,906,false
620,5409,S4,12,false
621,576,R5,112,false
622,58,S9,1248,false
623,588,R34,297,false
624,615,R37,172,false
625,618,R13,50,false
626,618,RE8,136,false
627,632,R1,219,false
628,632,R14,240,false
629,632,R2,322,false
630,632,R7,166,false
631,632,RE2,283,false
632,634,S7,415,false
633,635,R21,42,false
634,636,R21,42,false
635,641,R12,33,false
636,641,RE8,17,false
637,642,S7,420,false
638,654,RE5,160,false
639,698,R25,24,false
640,710,S1,8,false
641,725,RE11,120,false
642,731,R18,123,false
643,734,R1,213,false
644,734,R3,478,false
645,734,R4,192,false
646,734,R5,112,false
647,734,R8,237,false
648,734,RE3,144,false
649,734,RE6,19,false
650,736,R34,297,false
651,737,R34,28,false
652,746,R34,28,false
653,766,R23,90,false
654,766,RE4,117,false
655,766,RE5,156,false
656,766,S5,990,false
657,766,S50,186,false
658,768,S7,415,false
659,779,R31,302,false
660,779,S9,1248,false
661,799,R4,205,false
662,801,R21,203,false
663,801,S30,77,false
664,807,R7,64,false
665,807,RE8,78,false
666,807,S8,871,false
667,811,R14,240,false
668,813,R8,216,false
669,819,S11,252,false
670,819,S4,884,false
671,85033,S50,250,false
672,85053,S40,272,false
673,85099,S40,272,false
674,85099,S50,126,false
675,858,R21,14,false
676,858,S5,990,false
677,866,R8,228,false
678,872,R18,124,false
679,873,S11,252,false
680,883,R6,333,false
681,891,S7,415,false
682,892,R6,82,false
683,899,S11,750,false
684,905,R14,240,false
685,905,RE8,45,false
686,905,S8,6,false
687,926,R6,352,false
688,932,R6,82,false
689,934,R8,256,false
690,937,R37,172,false
691,937,R38,7,false
692,947,R18,123,false
693,948,R23,90,false
694,950,S7,389,false
695,951,R4,9,false
696,951,RE2,13,false
697,951,S5,990,false
698,975,R34,99,false
699,975,R41,66,false
700,997,R6,352,false
701,R1,1099,180,false
702,R1,1128,190,false
703,R1,1151,189,false
704,R1,1473,199,false
705,R1,1808,219,false
706,R1,1974,180,false
707,R1,2015,200,false
708,R1,2437,209,false
709,R1,2697,219,false
710,R1,397,180,false
711,R1,632,180,false
712,R1,734,186,false
713,R11,1089,112,false
714,R11,1139,120,false
715,R11,1263,112,false
716,R11,1919,118,false
717,R11,2275,120,false
718,R11,2477,112,false
719,R11,2632,120,false
720,R11,3013,120,false
721,R12,1100,27,false
722,R12,2195,33,false
723,R12,2850,6,false
724,R12,2916,33,false
725,R12,3071,27,false
726,R13,1025,20,false
727,R13,1139,357,false
728,R13,1189,321,false
729,R13,1225,46,false
730,R13,1228,50,false
731,R13,1258,357,false
732,R13,1329,340,false
733,R13,1550,50,false
734,R13,1575,67,false
735,R13,1632,50,false
736,R13,1846,46,false
737,R13,1934,340,false
738,R13,2151,50,false
739,R13,2573,339,false
740,R13,2760,8,false
741,R13,2808,321,false
742,R13,2993,50,false
743,R13,365,357,false
744,R13,455,28,false
745,R13,618,357,false
746,R14,1711,240,false
747,R14,1715,240,false
748,R14,1841,240,false
749,R14,1998,240,false
750,R14,2223,240,false
751,R14,2716,240,false
752,R14,2836,240,false
753,R14,3183,240,false
754,R14,453,240,false
755,R14,632,240,false
756,R14,811,240,false
757,R14,905,240,false
758,R16,1698,831,false
759,R16,1707,18,false
760,R16,5046,840,false
761,R16,5053,18,false
762,R16,5054,840,false
763,R16,5065,840,false
764,R16,5073,18,false
765,R16,5086,18,false
766,R16,5087,840,false
767,R16,5088,18,false
768,R16,5089,818,false
769,R16,5090,31,false
770,R16,5091,818,false
771,R16,5092,18,false
772,R16,5094,18,false
773,R16,5095,623,false
774,R16,5097,569,false
775,R16,5098,72,false
776,R17,5048,927,false
777,R17,5054,927,false
778,R17,5337,927,false
779,R17,5339,927,false
780,R17,5341,927,false
781,R17,5343,927,false
782,R17,5345,914,false
783,R18,1119,16,false
784,R18,1158,102,false
785,R18,1550,62,false
786,R18,1698,124,false
787,R18,1754,123,false
788,R18,1761,123,false
789,R18,1930,28,false
790,R18,2612,28,false
791,R18,2982,13,false
792,R18,3222,145,false
793,R18,401,118,false
794,R18,438,123,false
795,R18,731,118,false
796,R18,872,123,false
797,R18,947,118,false
798,R2,2920,322,false
799,R2,3016,322,false
800,R2,3596,322,false
801,R21,1393,51,false
802,R21,1542,203,false
803,R21,1554,14,false
804,R21,1593,42,false
805,R21,1715,14,false
806,R21,1853,42,false
807,R21,2260,212,false
808,R21,2636,42,false
809,R21,2833,203,false
810,R21,2906,42,false
811,R21,3098,64,false
812,R21,635,203,false
813,R21,636,212,false
814,R21,801,42,false
815,R22,1707,112,false
816,R22,5048,961,false
817,R22,5053,112,false
818,R22,5054,961,false
819,R22,5309,112,false
820,R22,5310,961,false
821,R22,5311,112,false
822,R22,5312,961,false
823,R22,5313,112,false
824,R22,5314,961,false
825,R22,5315,112,false
826,R22,5316,961,false
827,R22,5317,112,false
828,R22,5318,961,false
829,R22,5319,122,false
830,R22,5320,446,false
831,R22,5321,106,false
832,R22,5322,430,false
833,R22,5323,106,false
834,R22,5324,154,false
835,R22,5325,382,false
836,R22,5326,154,false
837,R22,5327,382,false
838,R22,5328,154,false
839,R23,1259,90,false
840,R23,1393,90,false
841,R23,1715,90,false
842,R23,2713,90,false
843,R23,2757,90,false
844,R23,3018,90,false
845,R23,3098,90,false
846,R23,461,90,false
847,R23,766,90,false
848,R23,948,90,false
849,R25,1404,43,false
850,R25,1858,43,false
851,R25,1917,24,false
852,R25,193,8,false
853,R25,1936,8,false
854,R25,2655,8,false
855,R25,2889,13,false
856,R25,2973,8,false
857,R25,2976,13,false
858,R25,2981,13,false
859,R25,3032,24,false
860,R25,406,24,false
861,R25,698,43,false
862,R27,1707,170,false
863,R27,5048,170,false
864,R27,5053,170,false
865,R27,5054,170,false
866,R27,5262,170,false
867,R27,5263,170,false
868,R27,5264,170,false
869,R27,5332,170,false
870,R27,5333,170,false
871,R27,5334,170,false
872,R28,1707,176,false
873,R28,1715,260,false
874,R28,1728,174,false
875,R28,5048,568,false
876,R28,5262,170,false
877,R28,5263,568,false
878,R28,5264,170,false
879,R28,5265,568,false
880,R28,5266,170,false
881,R28,5276,170,false
882,R3,5051,16,false
883,R3,5093,44,false
884,R3,5151,300,false
885,R3,5152,316,false
886,R3,5154,98,false
887,R3,5347,62,false
888,R3,5348,28,false
889,R3,5349,62,false
890,R3,5350,16,false
891,R3,5351,62,false
892,R3,5352,28,false
893,R3,5353,62,false
894,R3,5355,246,false
895,R3,5356,44,false
896,R3,5357,246,false
897,R3,5359,44,false
898,R3,5361,98,false
899,R3,5362,98,false
900,R3,5363,316,false
901,R3,5364,114,false
902,R3,5365,316,false
903,R3,5366,114,false
904,R3,5367,316,false
905,R3,5368,478,false
906,R3,5369,98,false
907,R3,5370,478,false
908,R3,5374,98,false
909,R3,5375,478,false
910,R3,5376,98,false
911,R3,5378,478,false
912,R3,734,98,false
913,R31,1386,22,false
914,R31,1716,52,false
915,R31,1721,310,false
916,R31,1858,50,false
917,R31,193,56,false
918,R31,1936,56,false
919,R31,2036,308,false
920,R31,2655,56,false
921,R31,2889,42,false
922,R31,2973,63,false
923,R31,2976,42,false
924,R31,2981,42,false
925,R31,3053,62,false
926,R31,367,312,false
927,R31,779,62,false
928,R31,780,22,false
929,R34,1039,28,false
930,R34,1711,28,false
931,R34,1712,297,false
932,R34,1720,28,false
933,R34,2046,297,false
934,R34,2111,14,false
935,R34,2143,297,false
936,R34,2564,85,false
937,R34,2651,85,false
938,R34,2790,28,false
939,R34,457,99,false
940,R34,588,28,false
941,R34,736,28,false
942,R34,737,297,false
943,R34,746,297,false
944,R34,975,28,false
945,R35,1037,13,false
946,R35,1311,20,false
947,R35,1585,283,false
948,R35,1682,20,false
949,R35,2046,20,false
950,R35,2138,20,false
951,R35,2611,20,false
952,R35,2640,283,false
953,R35,2889,283,false
954,R35,2981,273,false
955,R35,3134,283,false
956,R35,3380,270,false
957,R36,1037,144,false
958,R36,1402,136,false
959,R36,1407,136,false
960,R36,1467,144,false
961,R36,1858,144,false
962,R36,1899,130,false
963,R36,2019,130,false
964,R36,2046,136,false
965,R36,2391,120,false
966,R36,2934,144,false
967,R36,3014,120,false
968,R36,3095,136,false
969,R37,1040,40,false
970,R37,1093,166,false
971,R37,1134,172,false
972,R37,1188,172,false
973,R37,1202,60,false
974,R37,1528,172,false
975,R37,1626,40,false
976,R37,1739,172,false
977,R37,1863,166,false
978,R37,1949,166,false
979,R37,1969,172,false
980,R37,2046,166,false
981,R37,2164,60,false
982,R37,2211,40,false
983,R37,2301,172,false
984,R37,2481,166,false
985,R37,374,60,false
986,R37,407,172,false
987,R37,615,166,false
988,R37,937,166,false
989,R38,1134,7,false
990,R38,1584,317,false
991,R38,1712,317,false
992,R38,2111,8,false
993,R38,2589,288,false
994,R38,937,310,false
995,R39,1040,35,false
996,R39,1626,40,false
997,R39,2211,35,false
998,R39,374,5,false
999,R4,1085,205,false
1000,R4,1690,9,false
1001,R4,1711,168,false
1002,R4,1712,215,false
1003,R4,1848,165,false
1004,R4,1974,185,false
1005,R4,2147,168,false
1006,R4,2419,218,false
1007,R4,2437,163,false
1008,R4,2919,165,false
1009,R4,3048,205,false
1010,R4,3061,17,false
1011,R4,380,17,false
1012,R4,734,182,false
1013,R4,799,156,false
1014,R4,951,17,false
1015,R40,1005,72,false
1016,R40,1202,6,false
1017,R40,2557,66,false
1018,R40,2881,71,false
1019,R40,3109,71,false
1020,R40,725,72,false
1021,R41,2564,66,false
1022,R41,2651,66,false
1023,R41,457,66,false
1024,R41,746,66,false
1025,R41,964,66,false
1026,R5,1202,112,false
1027,R5,1634,112,false
1028,R5,1940,112,false
1029,R5,2392,112,false
1030,R5,2603,112,false
1031,R5,3022,112,false
1032,R5,576,112,false
1033,R5,734,112,false
1034,R6,1201,89,false
1035,R6,1202,70,false
1036,R6,1712,69,false
1037,R6,1715,68,false
1038,R6,1940,352,false
1039,R6,2763,352,false
1040,R6,2919,82,false
1041,R6,3099,70,false
1042,R6,3372,333,false
1043,R6,883,82,false
1044,R6,892,333,false
1045,R6,926,70,false
1046,R6,932,333,false
1047,R6,997,70,false
1048,R7,1111,64,false
1049,R7,1550,40,false
1050,R7,2223,166,false
1051,R7,2235,166,false
1052,R7,3015,64,false
1053,R7,424,64,false
1054,R7,632,64,false
1055,R7,807,166,false
1056,R8,1153,228,false
1057,R8,1425,228,false
1058,R8,1704,244,false
1059,R8,1835,225,false
1060,R8,2035,228,false
1061,R8,2112,243,false
1062,R8,2335,237,false
1063,R8,2336,216,false
1064,R8,2513,256,false
1065,R8,2603,228,false
1066,R8,2894,250,false
1067,R8,3038,216,false
1068,R8,3114,216,false
1069,R8,472,228,false
1070,R8,734,216,false
1071,R8,813,228,false
1072,R8,866,216,false
1073,R8,934,231,false
1074,RE1,1707,32,false
1075,RE1,5048,195,false
1076,RE1,5053,32,false
1077,RE1,5054,195,false
1078,RE1,5314,32,false
1079,RE1,5318,195,false
1080,RE1,5319,32,false
1081,RE1,5320,195,false
1082,RE1,5321,32,false
1083,RE1,5322,195,false
1084,RE1,5323,32,false
1085,RE1,5325,227,false
1086,RE1,5327,227,false
1087,RE11,1005,145,false
1088,RE11,1134,108,false
1089,RE11,1202,109,false
1090,RE11,1584,135,false
1091,RE11,1626,11,false
1092,RE11,1639,108,false
1093,RE11,1645,108,false
1094,RE11,1712,147,false
1095,RE11,1720,108,false
1096,RE11,1728,108,false
1097,RE11,2112,120,false
1098,RE11,2164,13,false
1099,RE11,2211,155,false
1100,RE11,2881,15,false
1101,RE11,3109,24,false
1102,RE11,725,133,false
1103,RE11,937,23,false
1104,RE2,1711,4,false
1105,RE2,1712,190,false
1106,RE2,1728,12,false
1107,RE2,2147,108,false
1108,RE2,2910,13,false
1109,RE2,2920,25,false
1110,RE2,3016,283,false
1111,RE2,3061,13,false
1112,RE2,3099,101,false
1113,RE2,3596,13,false
1114,RE2,632,24,false
1115,RE3,5051,14,false
1116,RE3,5093,14,false
1117,RE3,5151,14,false
1118,RE3,5152,158,false
1119,RE3,5154,158,false
1120,RE3,5348,158,false
1121,RE3,5350,14,false
1122,RE3,5352,158,false
1123,RE3,5359,158,false
1124,RE3,5364,14,false
1125,RE3,5365,158,false
1126,RE3,5366,14,false
1127,RE3,5370,14,false
1128,RE3,734,28,false
1129,RE4,1393,117,false
1130,RE4,1728,10,false
1131,RE4,2290,10,false
1132,RE4,2713,10,false
1133,RE4,2793,10,false
1134,RE4,3012,117,false
1135,RE4,3098,117,false
1136,RE4,461,117,false
1137,RE4,766,10,false
1138,RE5,1393,171,false
1139,RE5,1413,15,false
1140,RE5,1492,175,false
1141,RE5,1554,156,false
1142,RE5,1715,156,false
1143,RE5,2033,15,false
1144,RE5,2250,160,false
