stop_id,stop_name
3013,VERCEIA
932,CASALETTO VAPRIO
5340,CADORAGO
5345,COMO BORGHI
5346,COMO LAGO
1311,FERRERA LOMELLINA
2477,S.CASSIANO VALCHIAVENNA
1230,DESIO
3048,VIDALENGO
5092,LAMBRUGO-LURAGO
5314,TRADATE
85033,MENDRISIO
3038,VIADANA BRESCIANA
1835,MONTIRONE
2335,REMEDELLO SOPRA
1111,CISANO CAPRINO BERGAMASCO
3507,SEGRATE
731,BRENNA-ALZATE
5049,CERIANO LAGHETTO-SOLARO
5151,DARFO-CORNA
1386,GAGGIANO
2589,S.STEFANO LODIGIANO
2164,PIZZIGHETTONE
5086,MEDA
1134,CODOGNO
779,ALBAIRATE-VERMEZZO
1728,MILANO CENTRALE
1158,COMO S.GIOVANNI
1593,LUINO
905,CARNATE USMATE
455,ARDENNO MASINO
1258,DORIO
3109,VILLETTA MALAGNINO
5350,CEDEGOLO
5347,SONICO
5367,PILZONE
5363,VELLO
5362,TOLINE
5336,ROVELLO PORRO
5064,SARONNO SUD
2518,S.GIULETTA
1998,PADERNO ROBBIATE
2716,SESTO S.GIOVANNI
1723,MILANO PORTA VENEZIA
5341,FINO MORNASCO
5342,PORTICHETTO-LUISAGO
2974,CANTELLO GAGGIOLO
2099,PESCHIERA DEL GARDA
3016,VERDELLO DALMINE
1936,OLEVANO
1937,OLGIATE-CALCO-BRIVIO
2345,RHO
5315,VENEGONO INFERIORE
438,ANZANO DEL PARCO
1229,DESENZANO DEL GARDA-SIRMIONE
405,ALBIZZATE SOLBIATE ARNO
2036,PARONA LOMELLINA
1329,FIUMELATTE
576,BAGNOLO MELLA
2833,TERNATE VARANO BORGHI
3032,VESPOLATE
3074,VILLA RAVERIO
2019,PALESTRO
1584,LODI
5309,GERENZANO TURATE
1704,MEZZANI RONDANI
1754,MOIANA
2143,PINAROLO PO
1626,MALEO
5065,MILANO AFFORI
2301,PAVIA PORTA GARIBALDI
3594,ARCENE
5328,LAVENO MOMBELLO FN
453,ARCORE
1415,GAZZO PIEVE S.GIACOMO
1528,LAMBRINIA
1551,LECCO MAGGIANICO
1842,MONZA SOBBORGHI
472,ASOLA
5333,CASTANO PRIMO
5378,BORGO S.GIOVANNI
5352,CAPO DI PONTE
5349,FORNO ALLIONE
1473,GRUMELLO DEL MONTE
2046,PAVIA
2640,SANNAZZARO
1189,COSIO TRAONA
2138,PIEVE ALBIGNOLA
2604,S.ZENONE AL LAMBRO
1853,MORNAGO CIMBRO
2573,S.PIETRO BERBENNO
85099,STABIO
5337,ROVELLASCA-MANERA
5054,MILANO DOMODOSSOLA
3468,MILANO DATEO
1029,CASTRONNO
2993,VARENNA ESINO
1604,MACHERIO-CANONICA
